date,language,visits
2016-08-06,en-us,18373
2016-08-07,en-us,19432
2016-08-08,en-us,45259
2016-08-09,en-us,45650
2016-08-10,en-us,39819
2016-08-11,en-us,41791
2016-08-12,en-us,37336
2016-08-13,en-us,15864
2016-08-14,en-us,16428
2016-08-15,en-us,45551
2016-08-16,en-us,43209
2016-08-17,en-us,41415
2016-08-18,en-us,41052
2016-08-19,en-us,38957
2016-08-20,en-us,18957
2016-08-21,en-us,20579
2016-08-22,en-us,48620
2016-08-23,en-us,53066
2016-08-24,en-us,46927
2016-08-25,en-us,48283
2016-08-26,en-us,43983
2016-08-27,en-us,19224
2016-08-28,en-us,20660
2016-08-29,en-us,51639
2016-08-30,en-us,53583
2016-08-31,en-us,56467
2016-09-01,en-us,49098
2016-09-02,en-us,43324
2016-09-03,en-us,20250
2016-09-04,en-us,18150
2016-09-05,en-us,20802
2016-09-06,en-us,50135
2016-09-07,en-us,47008
2016-09-08,en-us,44586
2016-09-09,en-us,42188
2016-09-10,en-us,17678
2016-09-11,en-us,18520
2016-09-12,en-us,47229
2016-09-13,en-us,45837
2016-09-14,en-us,44467
2016-09-15,en-us,42906
2016-09-16,en-us,37952
2016-09-17,en-us,19086
2016-09-18,en-us,20572
2016-09-19,en-us,51417
2016-09-20,en-us,47763
2016-09-21,en-us,44369
2016-09-22,en-us,46624
2016-09-23,en-us,41420
2016-09-24,en-us,17679
2016-09-25,en-us,17463
2016-09-26,en-us,47942
2016-09-27,en-us,46247
2016-09-28,en-us,45159
2016-09-29,en-us,43458
2016-09-30,en-us,39067
2016-10-01,en-us,18628
2016-10-02,en-us,21365
2016-10-03,en-us,50211
2016-10-04,en-us,51079
2016-10-04,es,1187
2016-10-05,en-us,46543
2016-10-06,en-us,48830
2016-10-07,en-us,41918
2016-10-08,en-us,17763
2016-10-09,en-us,18637
2016-10-10,en-us,34063
2016-10-11,en-us,47851
2016-10-12,en-us,51484
2016-10-13,en-us,46909
2016-10-14,en-us,43520
2016-10-15,en-us,24957
2016-10-16,en-us,29711
2016-10-17,en-us,56892
2016-10-18,en-us,52629
2016-10-19,en-us,47295
2016-10-20,en-us,47874
2016-10-21,en-us,45577
2016-10-22,en-us,18440
2016-10-23,en-us,20818
2016-10-24,en-us,54763
2016-10-25,en-us,52065
2016-10-26,en-us,48682
2016-10-27,en-us,47307
2016-10-28,en-us,43236
2016-10-29,en-us,21099
2016-10-30,en-us,24729
2016-10-31,en-us,50492
2016-11-01,en-us,52413
2016-11-02,en-us,50293
2016-11-03,en-us,47787