date,screen_resolution,visits
2016-08-08,1920x1080,8792
2016-08-09,1920x1080,8838
2016-08-10,1920x1080,7849
2016-08-11,1920x1080,8452
2016-08-12,1920x1080,7245
2016-08-15,1920x1080,9051
2016-08-16,1920x1080,8711
2016-08-17,1920x1080,8431
2016-08-18,1920x1080,7929
2016-08-19,1920x1080,7489
2016-08-22,1920x1080,9650
2016-08-23,1920x1080,9944
2016-08-24,1920x1080,8919
2016-08-25,1920x1080,8636
2016-08-26,1920x1080,7774
2016-08-29,1920x1080,9443
2016-08-30,1920x1080,9519
2016-08-31,1920x1080,9457
2016-08-31,375x667,5124
2016-09-01,1920x1080,8890
2016-09-02,1920x1080,7726
2016-09-06,1920x1080,10225
2016-09-07,1920x1080,9452
2016-09-08,1920x1080,8979
2016-09-09,1920x1080,7978
2016-09-12,1920x1080,9452
2016-09-13,1920x1080,9430
2016-09-14,1920x1080,8912
2016-09-15,1920x1080,8649
2016-09-16,1920x1080,7667
2016-09-19,1920x1080,10129
2016-09-20,1920x1080,9688
2016-09-21,1920x1080,8651
2016-09-22,1920x1080,9200
2016-09-23,1920x1080,7777
2016-09-26,1920x1080,9584
2016-09-27,1920x1080,9092
2016-09-28,1920x1080,8918
2016-09-29,1920x1080,8597
2016-09-30,1920x1080,7716
2016-10-03,1920x1080,10261
2016-10-04,1920x1080,10680
2016-10-05,1920x1080,9347
2016-10-06,1920x1080,9139
2016-10-07,1920x1080,8199
2016-10-10,1920x1080,6029
2016-10-11,1920x1080,9503
2016-10-12,1920x1080,9690
2016-10-13,1920x1080,9257
2016-10-14,1920x1080,8481
2016-10-16,375x667,5222
2016-10-17,1920x1080,11162
2016-10-18,1920x1080,10547
2016-10-19,1920x1080,9427
2016-10-20,1920x1080,9332
2016-10-21,1920x1080,8879
2016-10-24,1920x1080,10900
2016-10-25,1920x1080,10123
2016-10-26,1920x1080,9099
2016-10-27,1920x1080,8812
2016-10-28,1920x1080,7675
2016-10-31,1920x1080,9398
2016-11-01,1920x1080,9472
2016-11-02,1920x1080,8584
2016-11-03,1920x1080,8549