city,active_visitors
San Francisco,235
Frisco,17
Berkeley,11
New York,11
Toronto,7
Los Angeles,6
Oakland,6
South San Francisco,6
San Jose,5
zz,5
Chicago,4
Houston,4
San Rafael,4
Austin,3
Daly City,3
Pleasanton,3
Roseville,3
Sacramento,3
San Diego,3
Walnut Creek,3
Boston,2
Dallas,2
Manhattan Beach,2
Missouri City,2
North New Hyde Park,2
Philadelphia,2
Redwood City,2
San Mateo,2
Seattle,2
Washington,2
Alameda,1
Albuquerque,1
Allen,1
Anchorage,1
Apple Valley,1
Atwater,1
Barcelona,1
Boca Raton,1
Boulder Creek,1
Buffalo,1
Calgary,1
Campbell,1
Cerritos,1
Chandler,1
Charlotte,1
Clearfield,1
Clovis,1
Colorado Springs,1
Coral Gables,1
Corte Madera,1
Courbevoie,1
Cupertino,1
Czestochowa,1
Danville,1
Denver,1
East Palo Alto,1
Fairborn,1
Fremont,1
Fresno,1
Garland,1
Germantown,1
Greenwood Village,1
Halifax,1
Hamburg,1
Hamilton,1
Hayward,1
Hillsboro,1
Irvine,1
Irving,1
Jackson,1
Kennesaw,1
Las Vegas,1
Manhattan,1
Martinez,1
Menlo Park,1
Merced,1
Mesquite,1
Mill Valley,1
Modesto,1
Napa,1
New Orleans,1
New Westminster,1
Newington,1
North Miami,1
North Miami Beach,1
Novi,1
Overland Park,1
Pacifica,1
Palo Alto,1
Parkville,1
Pasig,1
Pittsburg,1
Pretoria,1
Redding,1
Richmond,1
Riverside,1
Rocky Top,1
Rohnert Park,1
Romans-sur-Isere,1
San Antonio,1
San Bruno,1
San Carlos,1
San Leandro,1
San Ramon,1
Santa Cruz,1
Saratoga,1
Sjobo,1
Solingen,1
South Hill,1
State College,1
Sunnyside,1
Tacoma,1
Tampa,1
Terrebonne,1
Tucson,1
Upland,1
Vallejo,1
West Covina,1
West Vancouver,1
Willowbrook,1