exit_page,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
sfgov.org/,197813,238629,173457,1.2063362873016434,45.191974238295764,197813
sfgov.org/sfc/employee-gateway,85430,134076,23037,1.5694252604471497,280.636825471146,85430
sfdbi.org/,26182,35250,14747,1.3463448170498815,118.64540524024139,26182
sfcontroller.org/CCSF-epayroll-–-online-paystubs,24113,78309,16283,3.2475842906316097,469.66648695724297,24113
sfgov.org/elections/voting-november-8-2016-election,23805,39127,19289,1.6436462927956312,80.31140516698173,23805
sftreasurer.org/property-tax-payments,22071,56785,15294,2.572833129445879,153.77350369262834,22071
sfcontroller.org/CCSF-EPAYROLL-–-online-paystubs,16330,39460,12202,2.4164115125535823,301.51396203306797,16330
sfdhr.org/classification-and-compensation-database,15613,46599,7375,2.9846281944533404,221.37545635047718,15613
sfcontroller.org/ccsf-epayroll-–-online-paystubs,14689,22116,9291,1.505616447681939,127.37667642453536,14689
sfdhr.org/,13744,23666,7152,1.7219150174621654,163.07756111757857,13744
sfgov.org/elections/,13411,22786,11189,1.699053016180747,104.57683990753858,13411
(not set),13254,0,7021,0.0,67.58156028368795,0
sfgov.org/elections/local-ballot-measure-status,12356,24320,10707,1.9682745224991907,101.36314341210748,12356
sftreasurer.org/,10924,35284,9571,3.2299523983888685,411.8908824606371,10924
sfmohcd.org/affordable-rentals-alice-griffith-phase-1-2,10513,16953,6919,1.612574907257681,128.2861219442595,10513
sftreasurer.org/property-TAX-PAYMENTS,8995,25200,7492,2.801556420233463,171.2887159533074,8995
sfdhr.org/eligible-list-postings,8888,22946,3463,2.5816831683168315,197.94093159315932,8888
sanfranciscopolice.org/vehicle-towing-rights,7516,8288,7016,1.1027142096860032,32.07756785524215,7516
sfdbi.org/instant-online-permit,7372,12891,4228,1.748643516006511,110.15328269126424,7372
sfgov.org/elections/department-elections,7102,10974,4890,1.5451985356237679,143.6513658124472,7102