date,browser,os_version,visits
2016-09-19,Chrome,Vista,139
2016-09-19,Chrome,8,135
2016-09-19,Firefox,XP,124
2016-09-19,Mozilla,8,119
2016-09-20,Internet Explorer,7,11013
2016-09-20,Chrome,7,9276
2016-09-20,Chrome,10,4133
2016-09-20,Firefox,7,2173
2016-09-20,Chrome,8.1,944
2016-09-20,Edge,10,760
2016-09-20,Firefox,10,702
2016-09-20,Internet Explorer,8.1,690
2016-09-20,Internet Explorer,10,514
2016-09-20,Chrome,XP,234
2016-09-20,Firefox,8.1,190
2016-09-20,Chrome,Vista,140
2016-09-20,Mozilla,8,129
2016-09-20,Chrome,8,102
2016-09-21,Internet Explorer,7,9585
2016-09-21,Chrome,7,8731
2016-09-21,Chrome,10,4178
2016-09-21,Firefox,7,1864
2016-09-21,Chrome,8.1,936
2016-09-21,Edge,10,703
2016-09-21,Internet Explorer,8.1,666
2016-09-21,Firefox,10,623
2016-09-21,Internet Explorer,10,474
2016-09-21,Chrome,XP,187
2016-09-21,Firefox,8.1,162
2016-09-21,Mozilla,8,126
2016-09-21,Chrome,Vista,125
2016-09-21,Internet Explorer,Vista,108
2016-09-21,Chrome,8,107
2016-09-22,Internet Explorer,7,10011
2016-09-22,Chrome,7,9233
2016-09-22,Chrome,10,4111
2016-09-22,Firefox,7,1906
2016-09-22,Chrome,8.1,956
2016-09-22,Edge,10,723
2016-09-22,Internet Explorer,8.1,701
2016-09-22,Firefox,10,621
2016-09-22,Internet Explorer,10,468
2016-09-22,Chrome,XP,206
2016-09-22,Firefox,8.1,191
2016-09-22,Chrome,Vista,118
2016-09-22,Chrome,8,117
2016-09-23,Internet Explorer,7,9798
2016-09-23,Chrome,7,7644
2016-09-23,Chrome,10,3443
2016-09-23,Firefox,7,1736
2016-09-23,Chrome,8.1,816
2016-09-23,Internet Explorer,8.1,658
2016-09-23,Firefox,10,609
2016-09-23,Edge,10,550
2016-09-23,Internet Explorer,10,465
2016-09-23,Chrome,XP,169
2016-09-23,Firefox,8.1,165
2016-09-23,Chrome,Vista,119
2016-09-24,Chrome,10,2065
2016-09-24,Chrome,7,1778
2016-09-24,Internet Explorer,7,1068
2016-09-24,Chrome,8.1,448
2016-09-24,Internet Explorer,8.1,377
2016-09-24,Firefox,7,370
2016-09-24,Edge,10,348
2016-09-24,Firefox,10,309
2016-09-24,Internet Explorer,10,153
2016-09-25,Chrome,10,2201
2016-09-25,Chrome,7,1823
2016-09-25,Internet Explorer,7,1038
2016-09-25,Chrome,8.1,533
2016-09-25,Internet Explorer,8.1,384
2016-09-25,Edge,10,366
2016-09-25,Firefox,7,310
2016-09-25,Firefox,10,296
2016-09-25,Internet Explorer,10,144
2016-09-26,Internet Explorer,7,10481
2016-09-26,Chrome,7,9494
2016-09-26,Chrome,10,4321
2016-09-26,Firefox,7,1843
2016-09-26,Chrome,8.1,992
2016-09-26,Edge,10,705
2016-09-26,Internet Explorer,8.1,673
2016-09-26,Firefox,10,660
2016-09-26,Internet Explorer,10,497
2016-09-26,Firefox,8.1,214
2016-09-26,Chrome,XP,199
2016-09-26,Chrome,Vista,106
2016-09-26,Firefox,XP,106
2016-09-26,Mozilla,8,101
2016-09-27,Internet Explorer,7,10109
2016-09-27,Chrome,7,8915
2016-09-27,Chrome,10,4293
2016-09-27,Firefox,7,1962
2016-09-27,Chrome,8.1,941
2016-09-27,Internet Explorer,8.1,672
2016-09-27,Firefox,10,639
2016-09-27,Edge,10,620
2016-09-27,Internet Explorer,10,477
2016-09-27,Firefox,8.1,202
2016-09-27,Chrome,XP,183
2016-09-27,Firefox,XP,129
2016-09-27,Chrome,Vista,113
2016-09-27,Chrome,8,112
2016-09-27,Mozilla,8,111
2016-09-28,Internet Explorer,7,9866
2016-09-28,Chrome,7,8985
2016-09-28,Chrome,10,4023
2016-09-28,Firefox,7,1804
2016-09-28,Chrome,8.1,970
2016-09-28,Edge,10,686
2016-09-28,Internet Explorer,8.1,668
2016-09-28,Firefox,10,655
2016-09-28,Internet Explorer,10,486
2016-09-28,Chrome,XP,179
2016-09-28,Firefox,8.1,157
2016-09-28,Mozilla,8,147
2016-09-28,Chrome,8,110
2016-09-28,Chrome,Vista,108
2016-09-29,Internet Explorer,7,9807
2016-09-29,Chrome,7,8722
2016-09-29,Chrome,10,3986
2016-09-29,Firefox,7,1772
2016-09-29,Chrome,8.1,834
2016-09-29,Edge,10,645
2016-09-29,Internet Explorer,8.1,641
2016-09-29,Firefox,10,622
2016-09-29,Internet Explorer,10,456
2016-09-29,Firefox,8.1,177
2016-09-29,Chrome,XP,163
2016-09-29,Mozilla,8,132
2016-09-29,Chrome,Vista,123
2016-09-29,Chrome,8,112
2016-09-30,Internet Explorer,7,9298
2016-09-30,Chrome,7,7605
2016-09-30,Chrome,10,3335
2016-09-30,Firefox,7,1591
2016-09-30,Chrome,8.1,719
2016-09-30,Internet Explorer,8.1,629
2016-09-30,Edge,10,560
2016-09-30,Firefox,10,526
2016-09-30,Internet Explorer,10,473
2016-09-30,Firefox,8.1,153
2016-09-30,Chrome,XP,147
2016-09-30,Chrome,Vista,107
2016-09-30,Mozilla,8,107
2016-10-01,Chrome,10,2157
2016-10-01,Chrome,7,1701
2016-10-01,Internet Explorer,7,1285
2016-10-01,Internet Explorer,8.1,402
2016-10-01,Edge,10,391
2016-10-01,Chrome,8.1,374
2016-10-01,Firefox,7,374
2016-10-01,Firefox,10,319
2016-10-01,Internet Explorer,10,182
2016-10-02,Chrome,10,2607
2016-10-02,Chrome,7,1883
2016-10-02,Internet Explorer,7,1423
2016-10-02,Chrome,8.1,485
2016-10-02,Edge,10,449
2016-10-02,Internet Explorer,8.1,430
2016-10-02,Firefox,7,344
2016-10-02,Firefox,10,297
2016-10-02,Internet Explorer,10,175
2016-10-02,Chrome,Vista,117
2016-10-02,Chrome,XP,114
2016-10-03,Internet Explorer,7,11858
2016-10-03,Chrome,7,9892
2016-10-03,Chrome,10,4462
2016-10-03,Firefox,7,2070
2016-10-03,Chrome,8.1,960
2016-10-03,Firefox,10,733
2016-10-03,Edge,10,721
2016-10-03,Internet Explorer,8.1,712
2016-10-03,Internet Explorer,10,506
2016-10-03,Firefox,8.1,213
2016-10-03,Chrome,XP,174
2016-10-03,Mozilla,8,144
2016-10-03,Firefox,XP,132
2016-10-03,Chrome,Vista,117
2016-10-03,Chrome,8,107
2016-10-04,Internet Explorer,7,11602
2016-10-04,Chrome,7,10418
2016-10-04,Chrome,10,4649
2016-10-04,Firefox,7,2014
2016-10-04,Chrome,8.1,1101
2016-10-04,Edge,10,882
2016-10-04,Firefox,10,752
2016-10-04,Internet Explorer,8.1,710
2016-10-04,Internet Explorer,10,562
2016-10-04,Chrome,XP,327
2016-10-04,Firefox,8.1,199
2016-10-04,Chrome,Vista,138
2016-10-04,Mozilla,8,132
2016-10-04,Chrome,8,123
2016-10-04,Firefox,XP,123
2016-10-05,Internet Explorer,7,10202
2016-10-05,Chrome,7,9234
2016-10-05,Chrome,10,4269
2016-10-05,Firefox,7,1910
2016-10-05,Chrome,8.1,984
2016-10-05,Edge,10,733
2016-10-05,Firefox,10,716
2016-10-05,Internet Explorer,8.1,660
2016-10-05,Internet Explorer,10,498
2016-10-05,Firefox,8.1,175
2016-10-05,Chrome,XP,172
2016-10-05,Mozilla,8,126
2016-10-05,Chrome,Vista,105
2016-10-05,Chrome,8,101
2016-10-06,Internet Explorer,7,10354
2016-10-06,Chrome,7,9080
2016-10-06,Chrome,10,4199
2016-10-06,Firefox,7,1855
2016-10-06,Chrome,8.1,948
2016-10-06,Firefox,10,752
2016-10-06,Edge,10,724
2016-10-06,Internet Explorer,8.1,666
2016-10-06,Internet Explorer,10,550
2016-10-06,Firefox,8.1,203
2016-10-06,Chrome,XP,162
2016-10-06,Chrome,Vista,130
2016-10-06,Chrome,8,128
2016-10-06,Mozilla,8,115
2016-10-07,Internet Explorer,7,9399
2016-10-07,Chrome,7,8090
2016-10-07,Chrome,10,3821
2016-10-07,Firefox,7,1571
2016-10-07,Chrome,8.1,877
2016-10-07,Edge,10,697
2016-10-07,Internet Explorer,8.1,672
2016-10-07,Firefox,10,607
2016-10-07,Internet Explorer,10,523
2016-10-07,Firefox,8.1,169
2016-10-07,Chrome,XP,163
2016-10-07,Chrome,Vista,114
2016-10-07,Mozilla,8,102
2016-10-08,Chrome,10,2162
2016-10-08,Chrome,7,1796
2016-10-08,Internet Explorer,7,1209
2016-10-08,Chrome,8.1,434
2016-10-08,Internet Explorer,8.1,362
2016-10-08,Firefox,7,357
2016-10-08,Edge,10,311
2016-10-08,Firefox,10,287
2016-10-08,Internet Explorer,10,196
2016-10-09,Chrome,10,2548
2016-10-09,Chrome,7,1785
2016-10-09,Internet Explorer,7,996
2016-10-09,Chrome,8.1,472
2016-10-09,Internet Explorer,8.1,405
2016-10-09,Edge,10,366
2016-10-09,Firefox,10,286
2016-10-09,Firefox,7,285
2016-10-09,Internet Explorer,10,151
2016-10-10,Chrome,7,6022
2016-10-10,Chrome,10,4048
2016-10-10,Internet Explorer,7,3632
2016-10-10,Firefox,7,963
2016-10-10,Chrome,8.1,860
2016-10-10,Edge,10,631
2016-10-10,Internet Explorer,8.1,539
2016-10-10,Firefox,10,520
2016-10-10,Internet Explorer,10,364
2016-10-10,Chrome,XP,186
2016-10-10,Firefox,8.1,152
2016-10-10,Mozilla,8,137
2016-10-10,Chrome,Vista,129
2016-10-11,Internet Explorer,7,10564
2016-10-11,Chrome,7,9213
2016-10-11,Chrome,10,4506
2016-10-11,Firefox,7,1848
2016-10-11,Chrome,8.1,1025
2016-10-11,Firefox,10,760
2016-10-11,Edge,10,729
2016-10-11,Internet Explorer,8.1,661
2016-10-11,Internet Explorer,10,600
2016-10-11,Firefox,8.1,208
2016-10-11,Chrome,XP,185
2016-10-11,Mozilla,8,143
2016-10-11,Firefox,XP,115
2016-10-11,Chrome,Vista,114
2016-10-11,Chrome,8,113
2016-10-12,Internet Explorer,7,10530
2016-10-12,Chrome,7,9799
2016-10-12,Chrome,10,4473
2016-10-12,Firefox,7,1894
2016-10-12,Chrome,8.1,1003
2016-10-12,Edge,10,777
2016-10-12,Firefox,10,720
2016-10-12,Internet Explorer,8.1,691
2016-10-12,Internet Explorer,10,558
2016-10-12,Chrome,XP,186
2016-10-12,Firefox,8.1,180
2016-10-12,Mozilla,8,129
2016-10-12,Chrome,Vista,118
2016-10-12,Firefox,XP,111
2016-10-13,Internet Explorer,7,10496
2016-10-13,Chrome,7,9136
2016-10-13,Chrome,10,4143
2016-10-13,Firefox,7,1868
2016-10-13,Chrome,8.1,953
2016-10-13,Internet Explorer,8.1,747
2016-10-13,Edge,10,715
2016-10-13,Firefox,10,671
2016-10-13,Internet Explorer,10,561
2016-10-13,Chrome,XP,195
2016-10-13,Firefox,8.1,190
2016-10-13,Mozilla,8,143
2016-10-13,Chrome,8,119
2016-10-13,Chrome,Vista,112
2016-10-14,Internet Explorer,7,10685
2016-10-14,Chrome,7,8165
2016-10-14,Chrome,10,3631
2016-10-14,Firefox,7,1686
2016-10-14,Chrome,8.1,923
2016-10-14,Internet Explorer,8.1,721
2016-10-14,Firefox,10,660
2016-10-14,Edge,10,648
2016-10-14,Internet Explorer,10,557
2016-10-14,Firefox,8.1,196
2016-10-14,Chrome,XP,131
2016-10-14,Mozilla,8,126
2016-10-14,Chrome,Vista,120
2016-10-14,Chrome,8,103
2016-10-15,Chrome,10,2447
2016-10-15,Chrome,7,1986
2016-10-15,Internet Explorer,7,1328
2016-10-15,Edge,10,501
2016-10-15,Chrome,8.1,471
2016-10-15,Firefox,7,445
2016-10-15,Internet Explorer,8.1,433
2016-10-15,Firefox,10,395
2016-10-15,Internet Explorer,10,218
2016-10-15,Chrome,Vista,111
2016-10-15,Firefox,8.1,104
2016-10-16,Chrome,10,3178
2016-10-16,Chrome,7,2448
2016-10-16,Internet Explorer,7,1415
2016-10-16,Chrome,8.1,619
2016-10-16,Edge,10,508
2016-10-16,Internet Explorer,8.1,429
2016-10-16,Firefox,10,412
2016-10-16,Firefox,7,383
2016-10-16,Internet Explorer,10,201
2016-10-16,Chrome,Vista,137
2016-10-17,Internet Explorer,7,14629
2016-10-17,Chrome,7,10469
2016-10-17,Chrome,10,4905
2016-10-17,Firefox,7,2207
2016-10-17,Chrome,8.1,1059
2016-10-17,Edge,10,939
2016-10-17,Firefox,10,796
2016-10-17,Internet Explorer,8.1,781
2016-10-17,Internet Explorer,10,626
2016-10-17,Firefox,8.1,216
2016-10-17,Chrome,XP,203
2016-10-17,Chrome,Vista,132
2016-10-17,Mozilla,8,110
2016-10-17,Chrome,8,105
2016-10-18,Internet Explorer,7,12552
2016-10-18,Chrome,7,10018
2016-10-18,Chrome,10,4541
2016-10-18,Firefox,7,2135
2016-10-18,Chrome,8.1,948
2016-10-18,Edge,10,855
2016-10-18,Firefox,10,812
2016-10-18,Internet Explorer,8.1,714
2016-10-18,Internet Explorer,10,695
2016-10-18,Chrome,XP,198
2016-10-18,Firefox,8.1,183
2016-10-18,Chrome,Vista,145
2016-10-18,Firefox,XP,121
2016-10-18,Mozilla,8,113
2016-10-19,Internet Explorer,7,11081
2016-10-19,Chrome,7,9329
2016-10-19,Chrome,10,4080
2016-10-19,Firefox,7,1832
2016-10-19,Chrome,8.1,956
2016-10-19,Edge,10,765
2016-10-19,Internet Explorer,8.1,732
2016-10-19,Firefox,10,693
2016-10-19,Internet Explorer,10,626
2016-10-19,Firefox,8.1,231
2016-10-19,Chrome,XP,171
2016-10-19,Mozilla,8,115
2016-10-19,Chrome,Vista,113
2016-10-20,Internet Explorer,7,11103
2016-10-20,Chrome,7,9281
2016-10-20,Chrome,10,4352
2016-10-20,Firefox,7,1816
2016-10-20,Chrome,8.1,1018
2016-10-20,Edge,10,713
2016-10-20,Firefox,10,687
2016-10-20,Internet Explorer,8.1,674
2016-10-20,Internet Explorer,10,584
2016-10-20,Firefox,8.1,186
2016-10-20,Chrome,XP,169
2016-10-20,Chrome,Vista,132
2016-10-20,Mozilla,8,122
2016-10-21,Internet Explorer,7,12578
2016-10-21,Chrome,7,8683
2016-10-21,Chrome,10,3597
2016-10-21,Firefox,7,1817
2016-10-21,Chrome,8.1,814
2016-10-21,Internet Explorer,8.1,792
2016-10-21,Edge,10,680
2016-10-21,Firefox,10,639
2016-10-21,Internet Explorer,10,553
2016-10-21,Firefox,8.1,177
2016-10-21,Chrome,XP,138
2016-10-21,Mozilla,8,123
2016-10-21,Chrome,Vista,113
2016-10-22,Chrome,10,2094
2016-10-22,Chrome,7,1691
2016-10-22,Internet Explorer,7,1248
2016-10-22,Internet Explorer,8.1,423
2016-10-22,Firefox,7,366
2016-10-22,Chrome,8.1,361
2016-10-22,Edge,10,348
2016-10-22,Firefox,10,312
2016-10-22,Internet Explorer,10,209
2016-10-23,Chrome,10,2762
2016-10-23,Chrome,7,2074
2016-10-23,Internet Explorer,7,1153
2016-10-23,Chrome,8.1,539
2016-10-23,Edge,10,436
2016-10-23,Internet Explorer,8.1,420
2016-10-23,Firefox,7,376
2016-10-23,Firefox,10,359
2016-10-23,Internet Explorer,10,147
2016-10-23,Chrome,XP,101
2016-10-24,Internet Explorer,7,12802
2016-10-24,Chrome,7,10574
2016-10-24,Chrome,10,4797
2016-10-24,Firefox,7,2269
2016-10-24,Chrome,8.1,1152
2016-10-24,Edge,10,881
2016-10-24,Internet Explorer,8.1,774
2016-10-24,Firefox,10,758
2016-10-24,Internet Explorer,10,656
2016-10-24,Firefox,8.1,224
2016-10-24,Chrome,XP,195
2016-10-24,Mozilla,8,158
2016-10-24,Chrome,8,116
2016-10-24,Firefox,XP,116
2016-10-24,Chrome,Vista,102
2016-10-25,Internet Explorer,7,11331
2016-10-25,Chrome,7,9989
2016-10-25,Chrome,10,4733
2016-10-25,Firefox,7,2068
2016-10-25,Chrome,8.1,994
2016-10-25,Edge,10,779
2016-10-25,Firefox,10,763
2016-10-25,Internet Explorer,8.1,734
2016-10-25,Internet Explorer,10,521
2016-10-25,Firefox,8.1,197
2016-10-25,Chrome,XP,179
2016-10-25,Firefox,XP,114
2016-10-25,Mozilla,8,112
2016-10-25,Chrome,Vista,104
2016-10-26,Internet Explorer,7,10379
2016-10-26,Chrome,7,9381
2016-10-26,Chrome,10,4504
2016-10-26,Firefox,7,1977
2016-10-26,Chrome,8.1,1095
2016-10-26,Edge,10,779
2016-10-26,Internet Explorer,8.1,721
2016-10-26,Firefox,10,716
2016-10-26,Internet Explorer,10,612
2016-10-26,Firefox,8.1,215
2016-10-26,Chrome,XP,200
2016-10-26,Mozilla,8,133
2016-10-26,Chrome,Vista,107
2016-10-26,Chrome,8,103
2016-10-26,Internet Explorer,Vista,103
2016-10-27,Internet Explorer,7,10744
2016-10-27,Chrome,7,9446
2016-10-27,Chrome,10,4318
2016-10-27,Firefox,7,1911
2016-10-27,Chrome,8.1,894
2016-10-27,Edge,10,729
2016-10-27,Internet Explorer,8.1,699
2016-10-27,Firefox,10,686
2016-10-27,Internet Explorer,10,550
2016-10-27,Firefox,8.1,147
2016-10-27,Chrome,XP,139
2016-10-27,Chrome,Vista,117
2016-10-27,Firefox,XP,109
2016-10-27,Chrome,8,105
2016-10-28,Internet Explorer,7,10738
2016-10-28,Chrome,7,8316
2016-10-28,Chrome,10,3662
2016-10-28,Firefox,7,1662
2016-10-28,Chrome,8.1,777
2016-10-28,Internet Explorer,8.1,750
2016-10-28,Edge,10,645
2016-10-28,Firefox,10,567
2016-10-28,Internet Explorer,10,545
2016-10-28,Firefox,8.1,170
2016-10-28,Chrome,XP,139
2016-10-28,Chrome,Vista,110
2016-10-28,Mozilla,8,102
2016-10-29,Chrome,10,2319
2016-10-29,Chrome,7,1845
2016-10-29,Internet Explorer,7,1333
2016-10-29,Chrome,8.1,455
2016-10-29,Edge,10,411
2016-10-29,Firefox,7,411
2016-10-29,Internet Explorer,8.1,407
2016-10-29,Firefox,10,349
2016-10-29,Internet Explorer,10,184
2016-10-30,Chrome,10,3072
2016-10-30,Chrome,7,2130
2016-10-30,Internet Explorer,7,1501
2016-10-30,Chrome,8.1,534
2016-10-30,Edge,10,467
2016-10-30,Firefox,7,455
2016-10-30,Internet Explorer,8.1,425
2016-10-30,Firefox,10,379
2016-10-30,Internet Explorer,10,209
2016-10-30,Firefox,8.1,123
2016-10-30,Chrome,XP,105
2016-10-31,Internet Explorer,7,11519
2016-10-31,Chrome,7,9581
2016-10-31,Chrome,10,4517
2016-10-31,Firefox,7,1934
2016-10-31,Chrome,8.1,974
2016-10-31,Internet Explorer,8.1,778
2016-10-31,Edge,10,766
2016-10-31,Firefox,10,679
2016-10-31,Internet Explorer,10,590
2016-10-31,Firefox,8.1,196
2016-10-31,Chrome,XP,183
2016-10-31,Mozilla,8,126
2016-10-31,Chrome,Vista,120
2016-11-01,Internet Explorer,7,11536
2016-11-01,Chrome,7,9679
2016-11-01,Chrome,10,4801
2016-11-01,Firefox,7,1930
2016-11-01,Chrome,8.1,1090
2016-11-01,Edge,10,846
2016-11-01,Firefox,10,738
2016-11-01,Internet Explorer,8.1,704
2016-11-01,Internet Explorer,10,588
2016-11-01,Chrome,XP,166
2016-11-01,Firefox,8.1,163
2016-11-01,Chrome,Vista,149
2016-11-01,Mozilla,8,120
2016-11-01,Chrome,8,105
2016-11-02,Internet Explorer,7,10348
2016-11-02,Chrome,7,9405
2016-11-02,Chrome,10,4735
2016-11-02,Firefox,7,1812
2016-11-02,Chrome,8.1,1085
2016-11-02,Edge,10,749
2016-11-02,Internet Explorer,8.1,729
2016-11-02,Firefox,10,688
2016-11-02,Internet Explorer,10,609
2016-11-02,Firefox,8.1,202
2016-11-02,Chrome,XP,188
2016-11-02,Chrome,Vista,113
2016-11-02,Mozilla,8,106
2016-11-03,Internet Explorer,7,10782
2016-11-03,Chrome,7,9216
2016-11-03,Chrome,10,4334
2016-11-03,Firefox,7,1807
2016-11-03,Chrome,8.1,916
2016-11-03,Edge,10,726
2016-11-03,Internet Explorer,8.1,717
2016-11-03,Firefox,10,691
2016-11-03,Internet Explorer,10,573
2016-11-03,Firefox,8.1,211
2016-11-03,Chrome,XP,150
2016-11-03,Chrome,Vista,114
2016-11-03,Mozilla,8,114