date,browser_version,os_version,visits
2016-08-06,11.0,7,1055
2016-08-06,11.0,8.1,411
2016-08-06,11.0,10,145
2016-08-07,11.0,7,1038
2016-08-07,11.0,8.1,415
2016-08-07,11.0,10,147
2016-08-07,9.0,7,126
2016-08-08,11.0,7,8836
2016-08-08,7.0,7,1336
2016-08-08,9.0,7,1068
2016-08-08,11.0,8.1,754
2016-08-08,11.0,10,473
2016-08-08,10.0,7,403
2016-08-09,11.0,7,9135
2016-08-09,7.0,7,1269
2016-08-09,9.0,7,1091
2016-08-09,11.0,8.1,711
2016-08-09,10.0,7,422
2016-08-09,11.0,10,416
2016-08-10,11.0,7,7748
2016-08-10,7.0,7,1142
2016-08-10,9.0,7,876
2016-08-10,11.0,8.1,670
2016-08-10,11.0,10,390
2016-08-10,10.0,7,358
2016-08-11,11.0,7,7869
2016-08-11,7.0,7,1215
2016-08-11,9.0,7,865
2016-08-11,11.0,8.1,669
2016-08-11,11.0,10,394
2016-08-11,10.0,7,374
2016-08-12,11.0,7,7385
2016-08-12,7.0,7,1326
2016-08-12,9.0,7,739
2016-08-12,11.0,8.1,600
2016-08-12,11.0,10,338
2016-08-12,10.0,7,280
2016-08-13,11.0,7,954
2016-08-13,11.0,8.1,391
2016-08-13,9.0,7,141
2016-08-13,11.0,10,128
2016-08-14,11.0,7,919
2016-08-14,11.0,8.1,389
2016-08-14,11.0,10,133
2016-08-15,11.0,7,8254
2016-08-15,7.0,7,1303
2016-08-15,9.0,7,835
2016-08-15,11.0,8.1,712
2016-08-15,11.0,10,444
2016-08-15,10.0,7,328
2016-08-16,11.0,7,7860
2016-08-16,7.0,7,1234
2016-08-16,9.0,7,892
2016-08-16,11.0,8.1,659
2016-08-16,11.0,10,433
2016-08-16,10.0,7,320
2016-08-17,11.0,7,7368
2016-08-17,7.0,7,1137
2016-08-17,9.0,7,866
2016-08-17,11.0,8.1,640
2016-08-17,11.0,10,461
2016-08-17,10.0,7,331
2016-08-17,7.0,Vista,103
2016-08-18,11.0,7,7192
2016-08-18,7.0,7,1198
2016-08-18,9.0,7,792
2016-08-18,11.0,8.1,656
2016-08-18,10.0,7,371
2016-08-18,11.0,10,371
2016-08-19,11.0,7,7150
2016-08-19,7.0,7,1328
2016-08-19,9.0,7,741
2016-08-19,11.0,8.1,671
2016-08-19,11.0,10,367
2016-08-19,10.0,7,289
2016-08-20,11.0,7,1106
2016-08-20,11.0,8.1,412
2016-08-20,11.0,10,160
2016-08-20,9.0,7,121
2016-08-21,11.0,7,1112
2016-08-21,11.0,8.1,421
2016-08-21,11.0,10,200
2016-08-21,9.0,7,191
2016-08-22,11.0,7,9239
2016-08-22,7.0,7,1281
2016-08-22,9.0,7,1096
2016-08-22,11.0,8.1,744
2016-08-22,11.0,10,495
2016-08-22,10.0,7,454
2016-08-23,11.0,7,8956
2016-08-23,7.0,7,1221
2016-08-23,9.0,7,1182
2016-08-23,11.0,8.1,697
2016-08-23,11.0,10,484
2016-08-23,10.0,7,429
2016-08-24,11.0,7,7792
2016-08-24,7.0,7,1478
2016-08-24,9.0,7,861
2016-08-24,11.0,8.1,671
2016-08-24,11.0,10,415
2016-08-24,10.0,7,340
2016-08-25,11.0,7,7876
2016-08-25,7.0,7,1335
2016-08-25,9.0,7,825
2016-08-25,11.0,8.1,701
2016-08-25,11.0,10,479
2016-08-25,10.0,7,323
2016-08-26,11.0,7,7419
2016-08-26,7.0,7,1284
2016-08-26,9.0,7,689
2016-08-26,11.0,8.1,665
2016-08-26,11.0,10,473
2016-08-26,10.0,7,260
2016-08-27,11.0,7,1012
2016-08-27,11.0,8.1,408
2016-08-27,11.0,10,154
2016-08-28,11.0,7,1002
2016-08-28,11.0,8.1,407
2016-08-28,11.0,10,152
2016-08-29,11.0,7,8297
2016-08-29,7.0,7,1298
2016-08-29,9.0,7,794
2016-08-29,11.0,8.1,715
2016-08-29,11.0,10,480
2016-08-29,10.0,7,311
2016-08-30,11.0,7,7957
2016-08-30,7.0,7,1177
2016-08-30,9.0,7,747
2016-08-30,11.0,8.1,742
2016-08-30,11.0,10,555
2016-08-30,10.0,7,313
2016-08-30,7.0,Vista,101
2016-08-31,11.0,7,7801
2016-08-31,7.0,7,1170
2016-08-31,9.0,7,806
2016-08-31,11.0,8.1,697
2016-08-31,11.0,10,565
2016-08-31,10.0,7,344
2016-09-01,11.0,7,7671
2016-09-01,7.0,7,1236
2016-09-01,9.0,7,745
2016-09-01,11.0,8.1,683
2016-09-01,11.0,10,429
2016-09-01,10.0,7,348
2016-09-02,11.0,7,7364
2016-09-02,7.0,7,1215
2016-09-02,9.0,7,716
2016-09-02,11.0,8.1,668
2016-09-02,11.0,10,412
2016-09-02,10.0,7,277
2016-09-03,11.0,7,1209
2016-09-03,11.0,8.1,389
2016-09-03,11.0,10,184
2016-09-03,9.0,7,165
2016-09-04,11.0,7,1005
2016-09-04,11.0,8.1,395
2016-09-04,9.0,7,159
2016-09-04,11.0,10,126
2016-09-05,11.0,7,1236
2016-09-05,11.0,8.1,455
2016-09-05,11.0,10,201
2016-09-05,9.0,7,113
2016-09-06,11.0,7,9728
2016-09-06,7.0,7,1251
2016-09-06,9.0,7,1063
2016-09-06,11.0,8.1,761
2016-09-06,11.0,10,506
2016-09-06,10.0,7,357
2016-09-07,11.0,7,7773
2016-09-07,7.0,7,1276
2016-09-07,9.0,7,747
2016-09-07,11.0,8.1,650
2016-09-07,11.0,10,469
2016-09-07,10.0,7,328
2016-09-08,11.0,7,7702
2016-09-08,7.0,7,1189
2016-09-08,9.0,7,719
2016-09-08,11.0,8.1,647
2016-09-08,11.0,10,449
2016-09-08,10.0,7,380
2016-09-09,11.0,7,7464
2016-09-09,7.0,7,1351
2016-09-09,9.0,7,651
2016-09-09,11.0,8.1,632
2016-09-09,11.0,10,502
2016-09-09,10.0,7,321
2016-09-10,11.0,7,963
2016-09-10,11.0,8.1,376
2016-09-10,11.0,10,188
2016-09-11,11.0,7,936
2016-09-11,11.0,8.1,387
2016-09-11,11.0,10,159
2016-09-12,11.0,7,8445
2016-09-12,7.0,7,1430
2016-09-12,11.0,8.1,722
2016-09-12,9.0,7,693
2016-09-12,11.0,10,471
2016-09-12,10.0,7,323
2016-09-13,11.0,7,7915
2016-09-13,7.0,7,1171
2016-09-13,9.0,7,694
2016-09-13,11.0,8.1,661
2016-09-13,11.0,10,489
2016-09-13,10.0,7,311
2016-09-14,11.0,7,7392
2016-09-14,7.0,7,1195
2016-09-14,9.0,7,669
2016-09-14,11.0,8.1,621
2016-09-14,11.0,10,473
2016-09-14,10.0,7,323
2016-09-15,11.0,7,7608
2016-09-15,7.0,7,1159
2016-09-15,11.0,8.1,671
2016-09-15,9.0,7,629
2016-09-15,11.0,10,460
2016-09-15,10.0,7,311
2016-09-16,11.0,7,7230
2016-09-16,7.0,7,1255
2016-09-16,11.0,8.1,634
2016-09-16,9.0,7,602
2016-09-16,11.0,10,367
2016-09-16,10.0,7,291
2016-09-17,11.0,7,1045
2016-09-17,11.0,8.1,393
2016-09-17,11.0,10,149
2016-09-17,9.0,7,137
2016-09-18,11.0,7,1073
2016-09-18,11.0,8.1,425
2016-09-18,9.0,7,168
2016-09-18,11.0,10,163
2016-09-19,11.0,7,8660
2016-09-19,7.0,7,1264
2016-09-19,9.0,7,929
2016-09-19,11.0,8.1,655
2016-09-19,11.0,10,528
2016-09-19,10.0,7,350
2016-09-20,11.0,7,8515
2016-09-20,7.0,7,1175
2016-09-20,9.0,7,892
2016-09-20,11.0,8.1,684
2016-09-20,11.0,10,504
2016-09-20,10.0,7,368
2016-09-21,11.0,7,7469
2016-09-21,7.0,7,1101
2016-09-21,9.0,7,664
2016-09-21,11.0,8.1,662
2016-09-21,11.0,10,460
2016-09-21,10.0,7,294
2016-09-22,11.0,7,7767
2016-09-22,7.0,7,1174
2016-09-22,11.0,8.1,699
2016-09-22,9.0,7,698
2016-09-22,11.0,10,454
2016-09-22,10.0,7,321
2016-09-23,11.0,7,7628
2016-09-23,7.0,7,1299
2016-09-23,11.0,8.1,654
2016-09-23,9.0,7,582
2016-09-23,11.0,10,443
2016-09-23,10.0,7,248
2016-09-24,11.0,7,925
2016-09-24,11.0,8.1,377
2016-09-24,11.0,10,153
2016-09-25,11.0,7,895
2016-09-25,11.0,8.1,384
2016-09-25,11.0,10,138
2016-09-26,11.0,7,8204
2016-09-26,7.0,7,1302
2016-09-26,11.0,8.1,662
2016-09-26,9.0,7,628
2016-09-26,11.0,10,476
2016-09-26,10.0,7,306
2016-09-27,11.0,7,7964
2016-09-27,7.0,7,1218
2016-09-27,11.0,8.1,668
2016-09-27,9.0,7,620
2016-09-27,11.0,10,469
2016-09-27,10.0,7,278
2016-09-28,11.0,7,7788
2016-09-28,7.0,7,1103
2016-09-28,11.0,8.1,663
2016-09-28,9.0,7,625
2016-09-28,11.0,10,473
2016-09-28,10.0,7,314
2016-09-29,11.0,7,7689
2016-09-29,7.0,7,1203
2016-09-29,9.0,7,638
2016-09-29,11.0,8.1,635
2016-09-29,11.0,10,448
2016-09-29,10.0,7,248
2016-09-30,11.0,7,7131
2016-09-30,7.0,7,1215
2016-09-30,11.0,8.1,628
2016-09-30,9.0,7,596
2016-09-30,11.0,10,457
2016-09-30,10.0,7,335
2016-10-01,11.0,7,1070
2016-10-01,11.0,8.1,402
2016-10-01,11.0,10,179
2016-10-01,9.0,7,129
2016-10-02,11.0,7,1180
2016-10-02,11.0,8.1,429
2016-10-02,11.0,10,168
2016-10-02,9.0,7,152
2016-10-03,11.0,7,9249
2016-10-03,7.0,7,1385
2016-10-03,9.0,7,849
2016-10-03,11.0,8.1,709
2016-10-03,11.0,10,498
2016-10-03,10.0,7,348
2016-10-04,11.0,7,8982
2016-10-04,7.0,7,1215
2016-10-04,9.0,7,1057
2016-10-04,11.0,8.1,709
2016-10-04,11.0,10,548
2016-10-04,10.0,7,312
2016-10-05,11.0,7,8079
2016-10-05,7.0,7,1131
2016-10-05,9.0,7,678
2016-10-05,11.0,8.1,654
2016-10-05,11.0,10,490
2016-10-05,10.0,7,279
2016-10-06,11.0,7,8201
2016-10-06,7.0,7,1209
2016-10-06,11.0,8.1,664
2016-10-06,9.0,7,597
2016-10-06,11.0,10,524
2016-10-06,10.0,7,313
2016-10-07,11.0,7,7322
2016-10-07,7.0,7,1203
2016-10-07,11.0,8.1,670
2016-10-07,9.0,7,580
2016-10-07,11.0,10,504
2016-10-07,10.0,7,262
2016-10-08,11.0,7,1062
2016-10-08,11.0,8.1,362
2016-10-08,11.0,10,194
2016-10-09,11.0,7,887
2016-10-09,11.0,8.1,405
2016-10-09,11.0,10,147
2016-10-10,11.0,7,3248
2016-10-10,11.0,8.1,539
2016-10-10,11.0,10,347
2016-10-10,7.0,7,127
2016-10-10,9.0,7,122
2016-10-10,10.0,7,118
2016-10-11,11.0,7,8278
2016-10-11,7.0,7,1275
2016-10-11,9.0,7,659
2016-10-11,11.0,8.1,654
2016-10-11,11.0,10,576
2016-10-11,10.0,7,330
2016-10-12,11.0,7,8260
2016-10-12,7.0,7,1214
2016-10-12,9.0,7,713
2016-10-12,11.0,8.1,685
2016-10-12,11.0,10,538
2016-10-12,10.0,7,314
2016-10-13,11.0,7,8362
2016-10-13,7.0,7,1174
2016-10-13,11.0,8.1,739
2016-10-13,9.0,7,643
2016-10-13,11.0,10,549
2016-10-13,10.0,7,290
2016-10-14,11.0,7,8350
2016-10-14,7.0,7,1368
2016-10-14,11.0,8.1,712
2016-10-14,9.0,7,584
2016-10-14,11.0,10,527
2016-10-14,10.0,7,339
2016-10-15,11.0,7,1147
2016-10-15,11.0,8.1,433
2016-10-15,11.0,10,212
2016-10-15,9.0,7,105
2016-10-16,11.0,7,1159
2016-10-16,11.0,8.1,428
2016-10-16,11.0,10,193
2016-10-16,9.0,7,169
2016-10-17,11.0,7,11599
2016-10-17,7.0,7,1706
2016-10-17,9.0,7,857
2016-10-17,11.0,8.1,770
2016-10-17,11.0,10,597
2016-10-17,10.0,7,381
2016-10-18,11.0,7,9783
2016-10-18,7.0,7,1468
2016-10-18,9.0,7,874
2016-10-18,11.0,8.1,706
2016-10-18,11.0,10,674
2016-10-18,10.0,7,382
2016-10-19,11.0,7,8659
2016-10-19,7.0,7,1362
2016-10-19,11.0,8.1,723
2016-10-19,9.0,7,693
2016-10-19,11.0,10,604
2016-10-19,10.0,7,329
2016-10-20,11.0,7,8751
2016-10-20,7.0,7,1381
2016-10-20,11.0,8.1,669
2016-10-20,9.0,7,593
2016-10-20,11.0,10,560
2016-10-20,10.0,7,332
2016-10-21,11.0,7,9889
2016-10-21,7.0,7,1772
2016-10-21,11.0,8.1,789
2016-10-21,9.0,7,537
2016-10-21,11.0,10,516
2016-10-21,10.0,7,319
2016-10-22,11.0,7,1099
2016-10-22,11.0,8.1,422
2016-10-22,11.0,10,199
2016-10-23,11.0,7,1001
2016-10-23,11.0,8.1,420
2016-10-23,11.0,10,139
2016-10-24,11.0,7,9880
2016-10-24,7.0,7,1780
2016-10-24,11.0,8.1,770
2016-10-24,9.0,7,722
2016-10-24,11.0,10,614
2016-10-24,10.0,7,372
2016-10-25,11.0,7,8955
2016-10-25,7.0,7,1412
2016-10-25,11.0,8.1,730
2016-10-25,9.0,7,601
2016-10-25,11.0,10,497
2016-10-25,10.0,7,332
2016-10-26,11.0,7,8163
2016-10-26,7.0,7,1278
2016-10-26,11.0,8.1,718
2016-10-26,11.0,10,599
2016-10-26,9.0,7,569
2016-10-26,10.0,7,333
2016-10-27,11.0,7,8401
2016-10-27,7.0,7,1373
2016-10-27,11.0,8.1,687
2016-10-27,9.0,7,647
2016-10-27,11.0,10,536
2016-10-27,10.0,7,292
2016-10-28,11.0,7,8386
2016-10-28,7.0,7,1488
2016-10-28,11.0,8.1,742
2016-10-28,9.0,7,544
2016-10-28,11.0,10,517
2016-10-28,10.0,7,279
2016-10-29,11.0,7,1142
2016-10-29,11.0,8.1,407
2016-10-29,11.0,10,176
2016-10-29,9.0,7,106
2016-10-30,11.0,7,1250
2016-10-30,11.0,8.1,425
2016-10-30,11.0,10,204
2016-10-30,9.0,7,144
2016-10-31,11.0,7,9085
2016-10-31,7.0,7,1389
2016-10-31,11.0,8.1,763
2016-10-31,9.0,7,691
2016-10-31,11.0,10,559
2016-10-31,10.0,7,305
2016-11-01,11.0,7,8942
2016-11-01,7.0,7,1352
2016-11-01,9.0,7,880
2016-11-01,11.0,8.1,700
2016-11-01,11.0,10,569
2016-11-01,10.0,7,330
2016-11-02,11.0,7,8090
2016-11-02,7.0,7,1239
2016-11-02,11.0,8.1,726
2016-11-02,9.0,7,686
2016-11-02,11.0,10,598
2016-11-02,10.0,7,301
2016-11-03,11.0,7,8489
2016-11-03,7.0,7,1269
2016-11-03,11.0,8.1,705
2016-11-03,9.0,7,690
2016-11-03,11.0,10,547
2016-11-03,10.0,7,300